シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック（国庫債務負担行為等による契約）,契約先名（国庫債務負担行為等による契約）,契約先の法人番号（国庫債務負担行為等による契約）,契約先の所在地（国庫債務負担行為等による契約）,契約先の法人種別（国庫債務負担行為等による契約）,契約概要（契約名）（国庫債務負担行為等による契約）,その他の契約,契約額（国庫債務負担行為等による契約）,契約方式等（国庫債務負担行為等による契約）,具体的な契約方式等（国庫債務負担行為等による契約）,入札者数（応募者数）（国庫債務負担行為等による契約）,落札率（％）（国庫債務負担行為等による契約）,一者応札・一者応募又は競争性のない随意契約となった理由及び改善策（契約額10億円以上）（国庫債務負担行為等による契約）,その他の契約（国庫債務負担行為等による契約）
レビューシート,2024,1,内閣人事局経費,1,内閣官房,内閣官房,内閣人事局,,,,,,,,,,,,,,,,,,,
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,,,,,,,,,,,,,,
レビューシート,2024,7,マイナンバー制度の推進,13,デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード広報班,,,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,日本電気株式会社,7010401022916,東京都港区芝５丁目７番１号,301,第一期政府共通プラットフォームの整備に係る回線賃貸借の調達（平成27年度、平成28年度、平成30年度、平成31年度、令和２年度調達案件の継続）／※変更契約により契約総額を変更,f,241725000,随意契約（その他）,,0,0,,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,東京センチュリー株式会社,6010401015821,東京都千代田区神田練塀町３番地,301,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24 年度～平成 30 年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24 年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）／※変更契約により契約総額を変更,f,6072675000,随意契約（その他）,,0,0,現行稼動している機器を交換する場合は著しい支障が生じるおそれがあることから、同一機器を継続して使用するため同社と随意契約を行った。,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータ,6010601062093,東京都江東区豊洲３丁目３番３号,301,第一期政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成 24 年度～平成 30 年度整備済施設・設備に係る令和５年度の賃貸借及び平成 24 年度～平成 31 年度整備済施設・設備に係る令和６年度の賃貸借）／※変更契約により契約総額を変更,f,2238156000,随意契約（その他）,,0,0,契約事業者を変更すると、既存のサービスとの互換性の要件に合致しないサービスを調達せざるを得なくなることから同社と随意契約を行った。,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータ,6010601062093,東京都江東区豊洲３丁目３番３号,301,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Lite）の調達（平成30年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成30年度導入済機器・ソフトウェア及び平成31年度導入済機器・ソフトウェアに係る令和６年度の賃貸借）／※変更契約により契約総額を変更,f,299878000,随意契約（その他）,,0,0,現行稼動している機器を交換する場合は著しい支障が生じるおそれがあることから、同一機器を継続して使用するため同社と随意契約を行った。,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータ,6010601062093,東京都江東区豊洲３丁目３番３号,301,第一期政府共通プラットフォームの整備に係る回線賃貸借の調達（平成 31 年度再増速回線の継続）／※変更契約により契約総額を変更,f,153648000,随意契約（その他）,,0,0,契約事業者を変更すると、既存のサービスとの互換性の要件に合致しないサービスを調達せざるを得なくなることから同社と随意契約を行った。,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,ＮＥＣネッツエスアイ株式会社,6010001135680,東京都港区芝浦３丁目９番１４号,301,第一期政府共通プラットフォームの整備に係る回線賃貸借の調達（首都拠点と西日本拠点とを接続するデータ転送用専用回線（平成29 年度調達案件の継続））／※変更契約により契約総額を変更,f,27509000,随意契約（その他）,,0,0,,f
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,株式会社ＮＴＴデータ,6010601062093,東京都江東区豊洲３丁目３番３号,301,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）／※変更契約により契約総額を変更,f,2681959000,一般競争契約（総合評価）,,1,,下見積もり提出業者に入札しなかった理由を確認したところ、社内検討した結果入札参加を見送ったとの回答があった。,f
